trajectory,x,y,se
blank,0.0,0.0,0.0
blank,0.48330683624801300,2.770642201834860,1.5412844036697300
blank,0.9666136724960260,5.61467889908257,1.7981651376146800
blank,1.945945945945950,3.1376146788990800,0.9357798165137610
blank,2.9507154213036600,1.8165137614678900,0.5321100917431190
blank,3.955484896661370,1.0825688073394500,0.40366972477064200
blank,4.947535771065180,0.2935779816513760,0.18348623853211
filled,0.0,0.0,0.0
filled,0.47058823529411800,2.53211009174312,1.0642201834862400
filled,0.9666136724960260,3.1376146788990800,0.8256880733944950
filled,1.9713831478537400,2.128440366972480,0.45871559633027500
filled,2.963434022257550,1.0642201834862400,0.23853211009174400
filled,3.955484896661370,0.4403669724770640,0.1651376146788990
filled,4.972972972972970,0.2018348623853220,0.12844036697247800
