trajectory,x,y,se
blank,0.0,0.0,0.0
blank,0.49306625577812000,0.05000000000000000,0.03013698630136990
blank,0.9984591679506930,0.1561643835616440,0.05068493150684930
blank,2.021571648690290,0.21506849315068500,0.073972602739726
blank,2.9830508474576300,0.12191780821917800,0.02191780821917810
blank,3.9815100154083200,0.08835616438356160,0.01986301369863020
blank,5.0046224961479200,0.03767123287671230,0.016438356164383600
blank,5.99075500770416,0.019863013698630200,0.008904109589041050
filled,0.0,0.0,0.0
filled,0.48073959938366700,0.06164383561643830,0.034246575342465800
filled,0.9861325115562410,0.1582191780821920,0.048630136986301400
filled,1.9969183359013900,0.15136986301369900,0.01780821917808220
filled,2.9953775038520800,0.12123287671232900,0.023287671232876800
filled,4.006163328197230,0.05547945205479450,0.010958904109589100
filled,5.0046224961479200,0.026027397260273900,0.006164383561643770
filled,5.978428351309710,0.01095890410958900,0.002054794520547960
