trajectory,x,y,se
main,0,0,0
main,0.121212121212122,3575.620767494360,3534.9887133182800
main,0.28282828282828300,4611.738148984200,3230.2483069977400
main,0.44444444444444600,4164.785553047400,1869.0744920993200
main,0.7272727272727290,3697.516930022570,975.1693002257340
main,0.9292929292929300,3413.092550790070,792.3250564334090
main,1.2525252525252500,3067.7200902934500,853.2731376975180
main,1.5353535353535400,2762.9796839729100,954.8532731376980
main,1.93939393939394,2519.187358916480,772.0090293453730
main,2.4242424242424200,2092.5507900677200,832.9571106094810
main,2.98989898989899,1808.1264108352100,670.428893905193
main,4.040404040404040,1340.8577878103800,609.480812641086
main,5.010101010101010,954.853273137696,487.5846501128680
main,5.97979797979798,772.0090293453720,365.6884875846490
main,7.959595959595960,446.95259593679400,243.79232505643300
main,9.97979797979798,264.10835214446900,142.2121896162550
main,11.959595959596000,182.84424379232400,0
main,24.0,20.31602708803540,0
